Video ID,Video Title,Publish Date,View Count,Like Count,Dislike Count,Like-dislike Ratio
HQGHJ9JK7A4,ترشيد المياه في الحدائق - خلونا نغير سلوكنا,2018-04-29T12:03:54Z,473662,16,6,2.67
hBdqtwOd6jU,2018 베지밀 CF (5060시니어두유 강석우 가족_달리기 ver2),2018-12-14T00:11:30Z,846450,10,5,2
_U6G88FsKIE,Đăng Quang Watch | Đẳng cấp doanh nhân - Phong cách thượng lưu,2018-08-30T13:05:01Z,355553,23,10,2.3
yFC-RNAmrYw,Custom Engraved Razor | The Perfect Rakhi Gift For Your Brother.,2018-08-20T13:23:03Z,67845,8,1,8
fEraf5kx7q8,Magnolia - Holiday Collection | ראש השנה במגנוליה,2018-08-21T07:19:09Z,1414291,20,15,1.33
vbBvBUkvGH0,Dører for en bærekraftig fremtid,2018-04-17T19:25:53Z,21572,2,0,
jvkhjcAanfA,Inside Boutiqaat Episode 12 - Hessa Al Sane3 | الحلقة ١٢ من برنامج انسايد بوتيكات - حصة الصانع,2018-06-17T20:35:38Z,137000,78,9,8.67
t1p7csI8Nl8,Clorox® Quitamanchas Colores Vivos,2018-12-05T00:31:39Z,11371552,1013,652,1.55
TOxacG_ZDlo,Publicité Coraya 2018 - 13 secondes,2018-07-27T15:18:23Z,4372278,28,13,2.15
yD3kVFQBTEc,15 трендов в плитке на 2018 год. Пусть ваш дом будет в тренде!,2018-01-25T16:20:56Z,95624,1058,70,15.11
-Lc2rjIXCUI,Own Your Moment with ACUVUE® Oasys 1-Day Series 20s,2018-05-15T08:58:26Z,2099036,2,5,0.4
njP6BMMUP78,Makkox per Coop - Solidal,2018-10-10T10:48:48Z,671025,15,3,5
ZScfwnUX2j8,황금피카츄 모험의 시작! 인스탁스 미니필름 포켓몬 에디션 출시,2018-10-12T06:38:41Z,66053,1,0,
sGCKnuKH5dQ,Kevin Hart and Tiffany Haddish Play Truth or Dab | Hot Ones,2018-09-24T15:00:06Z,14432695,318862,6577,48.48
nrOrTwpPBls,Aula de Pompoarismo Gratuita | Personare,2018-07-06T14:02:22Z,358478,14378,166,86.61
I2c1qBsA4WU,"Miley Cyrus, Paris Jackson & Stella McCartney on Sustainable Fashion | Met Gala 2018 With Liza Koshy",2018-05-08T05:26:44Z,11365687,68922,5451,12.64
